92,77,2,0,75,75
68,75,0,1,-1,-1
17,73,0,4,-1,-1
42,46,0,4,-1,-1
73,50,0,2,-1,-1
43,46,0,1,-1,-1
13,54,0,4,-1,-1
89,77,1,0,86,75
81,22,0,4,-1,-1
49,76,0,3,-1,-1
41,83,0,3,-1,-1
75,46,0,4,-1,-1
31,74,0,3,-1,-1
42,15,0,3,-1,-1
79,76,0,3,-1,-1
74,17,0,4,-1,-1
20,67,0,1,-1,-1
68,77,0,1,-1,-1
27,40,0,2,-1,-1
87,48,1,0,82,48
98,73,2,0,75,75
52,83,0,4,-1,-1
70,45,0,3,-1,-1
35,19,0,4,-1,-1
24,27,0,2,-1,-1
83,50,1,0,82,50
76,51,0,1,-1,-1
85,48,1,4,82,48
37,54,0,4,-1,-1
76,81,0,1,-1,-1
17,65,0,2,-1,-1
18,46,0,1,-1,-1
80,15,0,2,-1,-1
71,83,0,4,-1,-1
82,78,0,3,-1,-1
49,18,0,2,-1,-1
87,79,0,4,-1,-1
72,79,0,1,-1,-1
24,47,0,2,-1,-1
63,23,0,1,-1,-1
74,22,0,3,-1,-1
16,17,0,4,-1,-1
71,45,0,3,-1,-1
56,48,0,1,-1,-1
63,16,0,4,-1,-1
67,47,0,1,-1,-1
17,24,0,4,-1,-1
53,84,0,4,-1,-1
62,52,0,3,-1,-1
32,15,0,3,-1,-1
58,76,0,1,-1,-1
94,76,2,0,75,75
61,48,0,3,-1,-1
14,64,0,3,-1,-1
81,53,0,4,-1,-1
86,15,0,3,-1,-1
77,22,0,2,-1,-1
14,40,0,1,-1,-1
62,75,0,3,-1,-1
80,16,0,1,-1,-1
27,18,0,2,-1,-1
37,82,0,2,-1,-1
87,83,0,3,-1,-1
75,77,0,4,-1,-1
33,28,0,3,-1,-1
31,84,0,1,-1,-1
70,51,0,1,-1,-1
85,18,0,2,-1,-1
97,75,2,0,75,75
74,50,0,1,-1,-1
28,30,0,4,-1,-1
30,37,0,2,-1,-1
86,84,0,4,-1,-1
70,21,0,1,-1,-1
86,48,1,0,82,48
70,54,0,2,-1,-1
98,74,2,0,75,75
93,74,2,0,75,75
95,74,2,0,75,75
18,79,0,2,-1,-1
71,75,0,1,-1,-1
84,23,0,1,-1,-1
61,47,0,1,-1,-1
72,22,0,2,-1,-1
32,28,0,3,-1,-1
20,76,0,2,-1,-1
86,77,0,4,-1,-1
25,64,0,4,-1,-1
17,67,0,4,-1,-1
19,54,0,3,-1,-1
72,84,0,1,-1,-1
87,51,1,0,82,50
25,66,0,3,-1,-1
38,47,0,3,-1,-1
76,46,0,4,-1,-1
30,16,0,3,-1,-1
78,18,0,4,-1,-1
85,20,0,4,-1,-1
25,60,0,2,-1,-1
53,21,0,1,-1,-1
68,80,0,1,-1,-1
26,70,0,2,-1,-1
15,50,0,3,-1,-1
85,83,0,3,-1,-1
56,18,0,3,-1,-1
18,68,0,4,-1,-1
43,21,0,1,-1,-1
64,15,0,1,-1,-1
61,21,0,4,-1,-1
21,15,0,1,-1,-1
61,81,0,3,-1,-1
15,67,0,2,-1,-1
95,75,2,0,75,75
63,46,0,1,-1,-1
19,36,0,4,-1,-1
26,47,0,3,-1,-1
36,44,0,3,-1,-1
92,74,2,0,75,75
34,15,0,1,-1,-1
56,75,0,3,-1,-1
14,60,0,3,-1,-1
61,51,0,3,-1,-1
19,77,0,1,-1,-1
76,49,0,1,-1,-1
20,15,0,2,-1,-1
22,78,0,3,-1,-1
